0.132240	0.000000
0.280720	142.490738
0.342320	4615.564384
0.429200	7269.338304
0.490800	9494.702526
0.552400	11223.750905
0.614000	12605.863192
0.675600	13735.938425
0.737200	14677.156810
0.798800	15473.209815
0.860400	16155.276616
0.922000	16746.203905
0.983600	17263.115087
1.045200	17719.096824
1.106800	18124.322371
1.168400	18486.819582
1.230000	18813.008130
1.291600	19108.082998
1.353200	19376.293231
1.414800	19621.147865
1.476400	19845.570306
1.538000	20052.015605
1.659600	19510.725476
1.721200	19707.181036
1.782800	19890.060579
1.844400	20060.724355
1.906000	20220.356768
1.967600	20369.993901
2.029200	20510.546028
2.150800	20066.951832
2.212400	20204.303019
2.334000	19811.482434
2.635600	18128.699347
2.697200	18285.629542
2.878800	17667.083507
2.940400	17820.704666
3.002000	17968.021319
3.063600	18109.413762
3.125200	18245.232305
3.186800	18375.800176
3.308400	18165.880788
3.370000	18290.801187
3.431600	18411.236741
3.493200	18527.424711
3.554800	18639.585912
3.616400	18747.926114
3.678000	18852.637303
3.739600	18953.898813
3.801200	19051.878354
3.862800	19146.732940
3.924400	19238.609724
3.986000	19327.646764
4.047600	19413.973713
4.109200	19497.712450
4.230800	19301.314172
4.292400	19383.095704
4.354000	19462.563160
4.415600	19539.813389
4.477200	19614.937908
4.538800	19688.023266
4.600400	19759.151378
4.782000	19330.823923
4.843600	19402.923445
4.965200	19237.895754
5.026800	19308.506406
5.088400	19377.407437
5.150000	19444.660194
5.298480	19190.409325
5.360080	19257.175266
